t,rx,ry,theta,vx,vy,omega,Fx,Fy,M
0.569620253164557,0.1209109464104916,2.0210643896294664,-9.265810119174489e-8,0.155317252049414,0.12888579513533394,1.0530145366782762e-9,0.014935947283041484,-0.038329571026561454,1.5662967450813525e-11
0.5822784810126582,0.3182755012868945,2.182075275588896,-9.121036059767107e-8,0.15646270201321177,0.12550861692116244,1.2335792110018673e-9,0.0111253125344154,-0.03850793495768334,1.5234116051976443e-11
0.5949367088607594,0.516876082881268,2.3387997465774717,-8.953739660810811e-8,0.15726866923245358,0.12211201633105229,1.408734129348943e-9,0.007212041175691464,-0.03877146861889458,1.4737305126244493e-11
0.6075949367088608,0.7162785456289065,2.4912095662335974,-8.764655623494377e-8,0.15772918876426484,0.11869108376014692,1.5776942252632153e-9,0.0032656921411496342,-0.039061535802049296,1.4174102863639959e-11
0.620253164556962,0.9160443872134731,2.639272950725955,-8.554616792721959e-8,0.15784280773068865,0.11524465372933423,1.7396946383474443e-9,-0.0006806350776368819,-0.03935158642857989,1.3546386234963848e-11
0.6329113924050633,1.1157344936974596,2.7829576255228625,-8.32455127053322e-8,0.15760952755036928,0.11177272730291005,1.893993323287546e-9,-0.004626951836510906,-0.0396416293979,1.2856240377834283e-11
0.6455696202531646,1.3149097521609319,2.9222313168516356,-8.075479618341319e-8,0.1570293482967799,0.10827530454225692,2.03987385316573e-9,-0.008573277383629507,-0.03993167862785674,1.2105941249451746e-11
0.6582278481012658,1.5131310490081695,3.057061750471311,-7.808511304219223e-8,0.1561022690673312,0.1047523848265019,2.176648167262485e-9,-0.012519614678201896,-0.04022173572326315,1.1298021546091164e-11
0.6708860759493671,1.7099592694288575,3.1874166513300324,-7.524841061368193e-8,0.1548282889187232,0.10120396754612826,2.303657736790754e-9,-0.016465961687261776,-0.04051179882093303,1.0435066005731741e-11
0.6835443037974683,1.9049552975352526,3.3132637437079193,-7.225744846905968e-8,0.15320740709465996,0.09763005225503918,2.4202757020752586e-9,-0.020412316189067303,-0.040801866065930864,9.519888349851513e-12
0.6962025316455697,2.0976800165982876,3.434570751416638,-6.912576067108489e-8,0.15123962301618682,0.0940306386536901,2.525907455419585e-9,-0.0243586763704991,-0.041091935978834676,8.555160052603483e-12
0.7088607594936709,2.287694309253321,3.5513053979673614,-6.58676144738024e-8,0.14892493625518066,0.09040572656395368,2.6199894753720088e-9,-0.028305040612956245,-0.041382007276583255,7.543549118693704e-12
0.7215189873417721,2.474559057682443,3.6634354067153865,-6.249796991042444e-8,0.14626334652251372,0.08675531591629265,2.701987661390959e-9,-0.03225140737261528,-0.04167207877159834,6.48745987485988e-12
0.7341772151898734,2.6578351437861905,3.770928500992593,-5.9032448262996695e-8,0.1432548536612977,0.08307940674205117,2.7713927541750394e-9,-0.03619777518459838,-0.04196214935620521,5.38870337241093e-12
0.7468354430379747,2.8370834493456556,3.8737524042303697,-5.548730186433204e-8,0.1398994576378586,0.07937799916573562,2.8277127028797366e-9,-0.04014414271040678,-0.04225221801845533,4.24838983437148e-12
0.759493670886076,3.0118648561705044,3.9718748400718322,-5.18794025516911e-8,0.13619715852840913,0.0756510933956075,2.870461784931777e-9,-0.04409050878839968,-0.042542283864701214,3.0665678329988566e-12
0.7721518987341772,3.1817402462274007,4.0652635324708974,-4.8226238558157775e-8,0.1321479565015713,0.07189868971248292,2.8991469502859246e-9,-0.04803687247772623,-0.04283234613782633,1.8418530589592308e-12
0.7848101265822784,3.346270501743982,4.153886205776342,-4.454593760527814e-8,0.12775185179726,0.06812078845727132,2.9132493362116207e-9,-0.05198323309717706,-0.04312240422770988,5.712409711922106e-13
0.7974683544303798,3.5050165052840647,4.237710584799556,-4.085730997971382e-8,0.12300884470242729,0.06431739001773795,2.9122050604346583e-9,-0.055929590257775774,-0.04341245767839885,-7.499417753464854e-13
0.810126582278481,3.6575391397347605,4.31670439483187,-3.717953367399218e-8,0.1179189353922811,0.06048849473574591,2.8962954257139017e-9,-0.05987594689089901,-0.043702507990225264,-1.9724152866551492e-12
0.8227848101265823,3.803399288148521,4.390835361580464,-3.353106459158539e-8,0.11248212403712893,0.05663410297909671,2.865799902940225e-9,-0.06382230017666043,-0.04399255307269742,-3.245809870877636e-12
0.8354430379746836,3.942157833948041,4.460071211331803,-2.9931121581228126e-8,0.10669841104988181,0.052754215293198625,2.8192275458582827e-9,-0.06776864741524521,-0.04428259097540527,-4.723377938775641e-12
0.8481012658227848,4.073375661113625,4.5243796711029045,-2.6401223429672882e-8,0.10056779680756167,0.04884883223291814,2.7549997838605123e-9,-0.071714992123004,-0.04457262343356094,-6.266879376548573e-12
0.8607594936708861,4.1966136539689085,4.58372846855384,-2.296426471204427e-8,0.09409028152439963,0.044917954288840545,2.6722117574262683e-9,-0.07566133448740664,-0.04486265017447891,-7.899302739700076e-12
0.8734177215189873,4.311432697093144,4.6380853319787825,-1.96444656097583e-8,0.08726586538597592,0.040961581970597905,2.569657320261598e-9,-0.07960767497285007,-0.04515267103749729,-9.649201576644728e-12
0.8860759493670886,4.417393675298204,4.687417990330681,-1.6467800012520684e-8,0.08009454859285775,0.03697971581319584,2.445768892966882e-9,-0.08355401277394855,-0.04544268560597503,-1.1549827066970053e-11
0.8987341772151899,4.514057473846776,4.731694173375303,-1.3462476022851888e-8,0.0725763317769278,0.03297235665467618,2.2985709169365265e-9,-0.0875003388828072,-0.04573268740187819,-1.363779575380697e-11
0.9113924050632911,4.600984978633258,4.770881611901707,-1.0659476856744732e-8,0.064711214775663,0.02893950495944181,2.125661369145604e-9,-0.09144668038163137,-0.0460226914042704,-1.594943274674243e-11
0.9240506329113924,4.677737074444442,4.804948036611416,-8.093075543058603e-9,0.056499196479418035,0.02488116024955414,1.924252590601583e-9,-0.09539303173711486,-0.046312704074224054,-1.8514408756109546e-11
0.9367088607594937,4.743874645177911,4.833861177637639,-5.80125059101988e-9,0.04794027675683843,0.020797322418009218,1.6913172806720667e-9,-0.09933937622451841,-0.04660271051116857,-2.1344058465100346e-11
0.9493670886075949,4.798958575168051,4.857588765440386,-3.825802341594908e-9,0.03903445617078685,0.016687991798398194,1.4239109336067202e-9,-0.10328571477376028,-0.04689271559126326,-2.4412888377511877e-11
0.9620253164556962,4.842549749405299,4.876098530696307,-2.211912875083044e-9,0.029781735191236447,0.012553168451290508,1.1197631988313361e-9,-0.10723204856834118,-0.04718272065013421,-2.763100859226597e-11
0.9746835443037974,4.874209053523872,4.88935820424161,-1.0067195965746123e-9,0.020182114456020445,0.008392852692411912,7.782574862336133e-10,-0.11117837260561453,-0.04747271854684898,-3.0805368672615074e-11
0.9873417721518988,4.893497374940102,4.897335518140764,-2.5633806188807284e-10,0.010235596693208004,0.004207046487418792,4.019167498814369e-10,-0.11512464433122666,-0.04776267888314742,-3.3591757847561965e-11
1.0,4.900000000000004,4.9,8.881784197001252e-16,-2.498001805406602e-16,-6.106226635438361e-16,-2.7755575615628914e-17,-0.11775549192253432,-0.047955977121833304,-3.518179497730145e-11
